,production_companies
1555,"                       name     id
0        Paramount Pictures      4
1        Nickelodeon Movies   2348
2  United Plankton Pictures   8921
3       Paramount Animation  24955"
1556,"                        name    id
0  Village Roadshow Pictures    79
1        Malpaso Productions   171
2          NPV Entertainment   172
3               Warner Bros.  6194"
1557,"                          name     id
0      Lakeshore Entertainment    126
1          Malpaso Productions    171
2      Epsilon Motion Pictures   1171
3                 Warner Bros.   6194
4  Albert S. Ruddy Productions  16311"
1558,"                       name     id
0  Spring Creek Productions    705
1              Warner Bros.   6194
2       Tribeca Productions  11391
3        Baltimore Pictures  11407"
1559,"              name  id
0  New Line Cinema  12"
1560,"                     name    id
0  Spyglass Entertainment   158
1       Fox 2000 Pictures   711
2  Dune Entertainment III  6332"
1561,"                       name     id
0      Walt Disney Pictures      2
1  It's a Laugh Productions   3812
2          Millar Gough Ink  20356"
1562,"                  name     id
0   Paramount Pictures      4
1   Nickelodeon Movies   2348
2  Paramount Animation  24955"
1563,"                name  id
0  Columbia Pictures   5"
1564,"                        name    id
0  Bedford Falls Productions   348
1           TriStar Pictures   559
2                    Pangaea  1656"
1565,"                             name     id
0              Paramount Pictures      4
1            Rickshaw Productions   2201
2            Cold Spring Pictures   2363
3  Montecito Picture Company, The   4607
4                      DW Studios  10261
5              Right of Way Films  32157"
1566,"              name    id
0  New Line Cinema    12
1        Avery Pix  1565"
1567,"                   name   id
0  Summit Entertainment  491"
1568,"                      name     id
0    Endgame Entertainment   1205
1             FilmDistrict   7263
2        DMG Entertainment  10289
3  Ram Bergman Productions  11092"
1569,"                 name     id
0  Paramount Pictures      4
1    Alphaville Films  11462"
1570,"                         name    id
0          Universal Pictures    33
1  Kennedy Miller Productions  2537"
1571,"                        name    id
0          Columbia Pictures     5
1           Mandate Pictures   771
2             Escape Artists  1423
3             Management 360  4220
4  Metro-Goldwyn-Mayer (MGM)  8411"
1572,"                 name     id
0  Universal Pictures     33
1  Apatow Productions  10105"
1573,"                      name   id
0       Paramount Pictures    4
1  Di Bonaventura Pictures  435"
1574,"               name     id
0  Relativity Media   7295
1  Michaels-Goldwyn  58553"
1575,"                                     name    id
0  Twentieth Century Fox Film Corporation   306
1                            Fortis Films  4258"
1576,"                         name     id
0          Dune Entertainment    444
1         Regency Enterprises    508
2           Fox 2000 Pictures    711
3      Dune Entertainment III   6332
4        New Regency Pictures  10104
5  Sunrise Entertainment (II)  26670
6          Biride Productions  26671"
1577,"                 name    id
0  Paramount Pictures     4
1    De Line Pictures  2609"
1578,"                   name     id
0     Columbia Pictures      5
1    Revolution Studios    497
2  Thirteen Productions  19636"
1579,"                           name     id
0           Gravier Productions   1824
1  Televisió de Catalunya (TV3)   8530
2               Versátil Cinema   8531
3                      Mediapro  12010
4     Pontchartrain Productions  24785"
1580,"                      name     id
0          Open Road Films  10427
1      Gulfstream Pictures  20788
2  Red Rover International  20789
3    ToonBox Entertainment  20790"
1581,"              name  id
0  New Line Cinema  12"
1582,"                    name     id
0  Bel Air Entertainment    788
1        DiNovi Pictures    813
2      Tiger Productions  18093"
1583,"                 name  id
0  Paramount Pictures   4"
1584,"                                     name     id
0  Twentieth Century Fox Film Corporation    306
1                 Josephson Entertainment   1894
2                       NBA Entertainment   4396
3            Heller Highwater Productions  11015
4                   Like Mike Productions  11016"
1585,"                 name  id
0  Paramount Pictures   4"
1586,"              name    id
0  Eon Productions  7576"
1587,"                   name   id
0    Aardman Animations  297
1  DreamWorks Animation  521"
1588,"                         name     id
0  Wendy Finerman Productions    412
1         Alcon Entertainment   1088
2  Grosvenor Park Productions  17449"
1589,"                  name    id
0  Alcon Entertainment  1088"
1590,"                  name     id
0   Universal Pictures     33
1         Studio Canal   5870
2     Relativity Media   7295
3  Working Title Films  10163"
1591,"                   name     id
0  Summit Entertainment    491
1    Applehead Pictures  28048"
1592,"                    name     id
0     Paramount Pictures      4
1  Pegasus Film Partners   1561
2          Jaffe-Lansing  14361"
1593,"                    name    id
0  Wessler Entertainment  8890"
1594,"                           name     id
0  Tim Burton Animation Company   1514
1           Will Vinton Studios   1515
2                  Warner Bros.   6194
3        Tim Burton Productions   8601
4           Laika Entertainment  11537
5           Patalex Productions  57751"
1595,"                   name  id
0  Walt Disney Pictures   2"
1596,"                    name     id
0              Lionsgate   1632
1  Thunder Road Pictures   3528
2      Black Label Media  33681"
1597,"                       name     id
0            Escape Artists   1423
1  Riche-Ludwig Productions  28438"
1598,"                     name     id
0      Universal Pictures     33
1    Ghost House Pictures    768
2        Mandate Pictures    771
3  Buckaroo Entertainment  11250
4       Curse Productions  11630"
1599,"                          name     id
0      Lakeshore Entertainment    126
1  Sidney Kimmel Entertainment    737
2              Sierra/Affinity  22107"
1600,"              name  id
0  New Line Cinema  12"
1601,"                   name    id
0  Summit Entertainment   491
1   Touchstone Pictures  9195"
1602,"                               name     id
0             Imagine Entertainment     23
1  Mikona Productions GmbH & Co. KG     24
2                Universal Pictures     33
3           Shutt/Jones Productions  65082"
1603,"                   name    id
0      Mandate Pictures   771
1  Three Strange Angels  1973"
1604,"                       name     id
0         Columbia Pictures      5
1  Dark Horse Entertainment    552
2      Ghost House Pictures    768
3                HorrorFlix  24339"
1605,"                       name     id
0                 Lionsgate   1632
1  Mutant Enemy Productions  10567"
1606,"                   name     id
0   Regency Enterprises    508
1  New Regency Pictures  10104"
1607,"                 name   id
0  Universal Pictures   33
1    City Light Films  136"
1608,"                          name     id
0     Keith Barish Productions    964
1  TAFT Entertainment Pictures    965
2                          HBO   6068
3       Braveworld Productions  23005"
1609,"                 name    id
0  The Geffen Company  2956"
1610,"                         name     id
0              Focus Features  10146
1      Neunte Babelsberg Film  14684
2            Holleran Company  21439
3  Sechzehnte Babelsberg Film  23919"
1611,"                      name    id
0          New Line Cinema    12
1  Threshold Entertainment  4174"
1612,"                   name    id
0    Universal Pictures    33
1  Playtone Productions  4170
2      Vendome Pictures  7460"
1613,"                        name     id
0                Screen Gems   3287
1  Metro-Goldwyn-Mayer (MGM)   8411
2               Misher Films  11581"
1614,"              name     id
0  New Line Cinema     12
1  Tiara Blu Films  54512"
1615,"                name  id
0  Columbia Pictures   5"
1616,"                        name    id
0  Metro-Goldwyn-Mayer (MGM)  8411"
1617,"                     name     id
0             Focus Films   1268
1         Starz Animation   2885
2        Relativity Media   7295
3  Tim Burton Productions   8601
4         Arc Productions  10280"
1618,"                      name     id
0  Di Bonaventura Pictures    435
1    Endgame Entertainment   1205
2                Universal   6292
3          Open Road Films  10427"
1619,"                      name     id
0       Paramount Pictures      4
1         Lions Gate Films     35
2  Epsilon Motion Pictures   1171
3          Stillking Films  11345
4             Sobini Films  13923"
1620,"                            name    id
0           Walt Disney Pictures     2
1  Walt Disney Animation Studios  6125"
1621,"              name  id
0  New Line Cinema  12"
1622,"                                     name   id
0  Twentieth Century Fox Film Corporation  306"
1623,"                          name     id
0            Universal Studios     13
1  Imagine Films Entertainment  11262
2                 Jagged Films  27319"
1624,"                 name  id
0  Universal Pictures  33"
1625,"                 name  id
0  Paramount Pictures   4"
1626,"                   name     id
0   Regency Enterprises    508
1  New Regency Pictures  10104
2                Pariah  11733
3  S E Productions Inc.  89632"
1627,"                      name     id
0  Jerry Bruckheimer Films    130
1              Screen Gems   3287
2            LStar Capital  34034"
1628,"                                    name     id
0                     Universal Pictures     33
1                  Wayfare Entertainment   5703
2                      Sanctum Australia   6490
3                       Relativity Media   7295
4  Great Wight Productions/ Osford Films  19960
5                  Start Motion Pictures  19961"
1629,"                 name    id
0  Revolution Studios   497
1  Blue Star Pictures  2779"
1630,"                       name     id
0        Universal Pictures     33
1                    Dentsu   6452
2          Relativity Media   7295
3        Apatow Productions  10105
4  Stoller Global Solutions  23876"
1631,"                  name    id
0  Touchstone Pictures  9195"
1632,"             name    id
0       Lionsgate  1632
1  Fidélité Films  2927
2           Hwy61  6320"
1633,"                  name    id
0          Screen Gems  3287
1  Ultravi Productions  8003"
1634,"                  name     id
0       Rogue Pictures    134
1  Why Not Productions    729
2        Liaison Films  20449
3    Biscayne Pictures  20450"
1635,"                            name   id
0  Columbia Pictures Corporation  441"
1636,"                        name    id
0  Metro-Goldwyn-Mayer (MGM)  8411"
1637,"                        name    id
0  Village Roadshow Pictures    79
1          NPV Entertainment   172
2  Centropolis Entertainment   347
3     Electric Entertainment  3241
4               Warner Bros.  6194"
1638,"                        name     id
0  Bedford Falls Productions    348
1         Dune Entertainment    444
2        Regency Enterprises    508
3          Fox 2000 Pictures    711
4         Stuber Productions   4403
5       New Regency Pictures  10104"
1639,"                     name    id
0        TriStar Pictures   559
1  Nu Image Entertainment   713
2    Brightlight Pictures  1063"
1640,"                        name    id
0               Warner Bros.  6194
1          Participant Media  6735
2  Nick Wechsler Productions  8073"
1641,"                         name     id
0        Cheyenne Enterprises    890
1          Franchise Pictures   1403
2     MHF Zweite Academy Film   8848
3            Eclipse Catering  23787
4  Nine Yards Two Productions  51771
5      Nine Yards Productions  51772"
1642,"                        name    id
0                    Gaumont     9
1  Dark Castle Entertainment  1786
2   Senator Entertainment Co  3319
3  Copperheart Entertainment  5106"
1643,"                 name  id
0           Lucasfilm   1
1  Universal Pictures  33"
1644,"                                                name     id
0                                    New Line Cinema     12
1                                       Solaris Film   1001
2                                          Avery Pix   1565
3                                  O'Connor Brothers  12066
4  Kumar Mobiliengesellschaft mbH & Co. Projekt N...  12067"
1645,"                                                name     id
0                            Lakeshore Entertainment    126
1                    Cinerenta Medienbeteiligungs KG    995
2                                        Screen Gems   3287
3  Cineblue Internationale Filmproduktionsgesells...  26032
4                                   City Productions  26033"
1646,"                            name     id
0        Epsilon Motion Pictures   1171
1             Franchise Pictures   1403
2                 Escape Artists   1423
3  Reiner / Greisman Productions  86256"
1647,"                        name     id
0    Lakeshore Entertainment    126
1  Metro-Goldwyn-Mayer (MGM)   8411
2       Mel's Cite du Cinema  54502"
1648,"                  name    id
0  Touchstone Pictures  9195"
1649,"                       name     id
0           New Line Cinema     12
1          First Foot Films  22110
2     Sunflower Productions  22253
3          Sarah Green Film  22254
4  The Virginia Company LLC  22255"
1650,"                               name     id
0     Carousel Picture Company, The  19944
1          No Prisoners Productions  24039
2               Origin Systems Inc.  24041
3  American Entertainment Investors  80469
4        Wing Commander Productions  89308
5                     Digital Anvil  89309"
1651,"                   name  id
0        DreamWorks SKG  27
1  Amblin Entertainment  56"
1652,"                                     name     id
0                 Ingenious Film Partners    289
1  Twentieth Century Fox Film Corporation    306
2                      Dune Entertainment    444
3                           Star Overseas   3477
4                  Dune Entertainment III   6332
5                  Big Screen Productions  10893
6                        World Film Magic  81135"
1653,"                      name   id
0  Di Bonaventura Pictures  435"
1654,"                             name     id
0                Lions Gate Films     35
1                2929 Productions    846
2  Artists Production Group (APG)  18620
3                Blue Productions  57347"
1655,"                   name     id
0   Alcon Entertainment   1088
1            ETIC Films   2979
2  C.R.G. International   8291
3       Trademark Films  22153
4   Micro Fusion 2003-2  67252"
1656,"     name    id
0  HW Two  7582"
1657,"                                     name     id
0                           Miramax Films     14
1                      Revolution Studios    497
2                Persistent Entertainment    810
3       Initial Entertainment Group (IEG)   7380
4                        The Ladd Company   7965
5  Kalis Productions GmbH & Co. Zweite KG  20376
6                        Unfinished Films  20377"
1658,"                                                 name     id
0                     Infinity Features Entertainment    212
1                                         Davis-Films    342
2                                     Téléfilm Canada    806
3                                   The Movie Network    808
4   Canadian Film or Video Production Tax Credit (...   8582
5                               British Columbia Film  10316
6      Province of British Columbia Film Incentive BC  11567
7                                       Movie Central  11575
8                          Grosvenor Park Productions  17449
9                                    Poo Poo Pictures  23116
10                              Parnassus Productions  55990
11                                    U.K. Tax Credit  55991"
1659,"                      name   id
0  Serendipity Point Films  805"
1660,"                     name     id
0    Double Feature Films    215
1     Regency Enterprises    508
2              Appian Way    562
3  Stone Village Pictures   7420
4    New Regency Pictures  10104"
1661,"                        name    id
0     Industry Entertainment   376
1    Epsilon Motion Pictures  1171
2            Hyde Park Films  1172
3  Metro-Goldwyn-Mayer (MGM)  8411"
1662,"                         name     id
0            TriStar Pictures    559
1  Freddie Fields Productions  27349"
1663,"               name    id
0      Warner Bros.  6194
1  The Ladd Company  7965"
1664,"            name     id
0  Original Film    333
1    WWE Studios  10339"
1665,"       name    id
0  Movision  1727"
1666,"                               name     id
0          Fox Searchlight Pictures     43
1  Alliance Atlantis Communications    803
2                Metropolitan Films  16419
3                              TNVO  21327"
1667,"                name    id
0  Tag Entertainment  2636"
1668,"        name   id
0  BBC Films  288"
1669,"Empty DataFrame
Columns: []
Index: []"
1670,"                         name     id
0             Impact Pictures    248
1  Constantin Film Produktion   5755
2      Mindfire Entertainment   8068
3                  Team Ninja  12317
4           VIP 4 Medienfonds  23238
5                       Tecmo  37134"
1671,"                         name     id
0        Plan B Entertainment     81
1             Virtual Studios    449
2      Scott Free Productions   1645
3  Alberta Film Entertainment   3997
4                Warner Bros.   6194
5            Jesse Films Inc.  11252"
1672,"             name     id
0  Variance Films  15071"
1673,"                   name     id
0  Fidélité Productions    147
1            Wild Bunch    856
2              M6 Films   1115
3          SCOPE Invest   2250
4        Scope Pictures  11199
5                    M6  11261
6  Orange Cinéma Séries  11620
7        Région Wallone  11920
8        Mandarin Films  12096
9         IMAV Editions  23303"
1674,"                               name     id
0             Current Entertainment    972
1                         Lionsgate   1632
2                 Sierra / Affinity  24049
3               SJ Heat Productions  45980
4  Silver State Production Services  49969
5          Cinema Seven Productions  59488
6                       SJ Pictures  59490"
1675,"                                name     id
0                    Mpower Pictures   5294
1                   Relativity Media   7295
2   1984 Private Defense Contractors   8532
3                    Virgin Produced   8852
4                 Moonlighting Films   9137
5              Apparatus Productions  11956
6                           GG Filmz  11957
7                        ITS Capital  11958
8              Merlina Entertainment  11959
9                    MGP Productions  11960
10              Safady Entertainment  11961"
1676,"                         name    id
0  Constantin Film Produktion  5755
1  Ambient Entertainment GmbH  8104"
1677,"          name   id
0  Film Afrika  773"
1678,"            name     id
0   Thelma Films   6844
1  Leuviah Films  53392"
1679,"                    name     id
0                Gaumont      9
1  TF1 Films Productions    356
2              Lucky Red    779
3                 Canal+   5358
4                  uFilm   8676
5            Silver Reel  12075
6                 Umedia  19037
7               Od Shots  35404
8      YRF Entertainment  51938
9           Stone Angels  51940"
1680,"                  name    id
0  Art Pictures Studio  3451"
1681,"                  name     id
0  Mr. Mudd Production   2130
1             Cattleya  10102
2           Baby Films  93156"
1682,"                          name     id
0            Columbia Pictures      5
1      Sony Pictures Animation   2251
2  Sony Pictures Entertainment   5752
3           Annapurna Pictures  13184
4          Point Grey Pictures  16615
5      Nitrogen Studios Canada  46875"
1683,"                     name     id
0      Universal Pictures     33
1       Gold Circle Films  12026
2  Brownstone Productions  12365"
1684,"                      name    id
0          Tree Line Films    84
1          Konrad Pictures    85
2      Catfish Productions    86
3        Fox 2000 Pictures   711
4  Mars Media Beteiligungs  6402"
1685,"                     name     id
0  Spyglass Entertainment    158
1     Touchstone Pictures   9195
2    Triple Threat Talent  53666"
1686,"                            name     id
0            Working Title Films  10163
1  Polygram Filmed Entertainment  31080"
1687,"                    name     id
0  Imagine Entertainment     23
1     Universal Pictures     33
2    Working Title Films  10163"
1688,"                name    id
0      Miramax Films    14
1  Allied Filmmakers  1755
2         Mad Chance  1757"
1689,"                 name  id
0  Paramount Pictures   4"
1690,"                 name  id
0  Universal Pictures  33"
1691,"                 name  id
0  Universal Pictures  33"
1692,"                  name    id
0  Touchstone Pictures  9195"
1693,"             name   id
0  Rogue Pictures  134"
1694,"                                name     id
0                      Section Eight    129
1                  Mandalay Pictures    551
2                  VIP 3 Medienfonds    827
3                   2929 Productions    846
4                        Rising Star   1208
5                  VIP 2 Medienfonds   3801
6  Warner Independent Pictures (WIP)  11509"
1695,"                   name  id
0  Walt Disney Pictures   2"
1696,"                  name     id
0      New Line Cinema     12
1   Universal Pictures     33
2   Legendary Pictures    923
3          Cube Vision   2780
4  Broken Chair Flickz  63924
5        Crucial Films  63925"
1697,"                 name  id
0           Lucasfilm   1
1  Paramount Pictures   4"
1698,"                  name     id
0   Nickelodeon Movies   2348
1  Paramount Animation  24955"
1699,"                        name   id
0         Paramount Pictures    4
1         AZL Productions KG  902
2    David Brown Productions  903
3   MFP Munich Film Partners  904
4        Phase 1 Productions  905
5  Revelations Entertainment  906"
1700,"           name    id
0     BBC Films   288
1  Qwerty Films   892
2         Pathé  7981"
1701,"                            name     id
0  Columbia Pictures Corporation    441
1                Dimension Films   7405
2           Troublemaker Studios  10807"
1702,"                                     name    id
0  Twentieth Century Fox Film Corporation   306
1                          Gordon Company  1073
2                         Silver Pictures  1885"
1703,"                                           name     id
0                            Universal Pictures     33
1  Internationale Filmproduktion Stella-del-Süd   3075
2                              Relativity Media   7295
3                          New Regency Pictures  10104
4                                     WideAwake  28787
5                                 Stuber/Parent  67334"
1704,"                   name   id
0    Paramount Pictures    4
1  Plan B Entertainment   81
2   Regency Enterprises  508"
1705,"             name     id
0  Focus Features  10146"
1706,"          name    id
0  Walt Disney  5888"
1707,"                          name     id
0  New Amsterdam Entertainment    572
1         Strike Entertainment    655
2      Metropolitan Filmexport    656
3                    Toho-Towa    657
4      Cruel and Unusual Films  78685"
1708,"                                                name     id
0                      Columbia Pictures Corporation    441
1                                   Intermedia Films    763
2                              Dee Gee Entertainment    869
3                                     Tapestry Films    870
4                                  Prufrock Pictures  34207
5  IMF Internationale Medien und Film GmbH & Co. ...  65403"
1709,"                     name    id
0  Toei Animation Company  3116"
1710,"                  name    id
0  Touchstone Pictures  9195"
1711,"                            name   id
0                Konrad Pictures   85
1  Columbia Pictures Corporation  441"
1712,"                        name     id
0  Laurence Mark Productions    415
1                  CBS Films   5490
2              Outlaw Sinema  13444
3              Good Universe  17393
4               Gidden Media  34886"
1713,"              name    id
0   United Artists    60
1  Eon Productions  7576"
1714,"                       name     id
0             Miramax Films     14
1            Tapestry Films    870
2  Simon Fields Productions  21518"
1715,"                         name    id
0          Universal Pictures    33
1        Renaissance Pictures   467
2    Dark Horse Entertainment   552
3         Largo Entertainment  1644
4          Signature Pictures  2982
5  JVC Entertainment Networks  4248"
1716,"                                                name     id
0                                 Paramount Pictures      4
1                          Village Roadshow Pictures     79
2                                  NPV Entertainment    172
3                            Scott Rudin Productions    258
4                               Red Hour Productions   2932
5                           Tenth Planet Productions   2933
6                                     VH1 Television  10692
7                                     Red Hour Films  12178
8  MFP Munich Film Partners GmbH & Company I. Pro...  21409"
1717,"                      name    id
0  Temple Hill Productions   722
1         Relativity Media  7295"
1718,"                   name  id
0  Walt Disney Pictures   2"
1719,"                        name     id
0  Village Roadshow Pictures     79
1  Castle Rock Entertainment     97
2               Warner Bros.   6194
3        Storefront Pictures   7747
4               WV Films III  12202"
1720,"         name    id
0   Lionsgate  1632
1  Marv Films  5374"
1721,"                name  id
0  Columbia Pictures   5"
1722,"               name     id
0   Neo Art & Logic   2811
1   Dimension Films   7405
2  Wes Craven Films  65507"
1723,"                      name    id
0     Walt Disney Pictures     2
1    21 Laps Entertainment  2575
2  Jim Henson Company, The  6254"
1724,"                  name     id
0   Universal Pictures     33
1          StudioCanal    694
2          Scion Films   7419
3       Focus Features  10146
4  Working Title Films  10163"
1725,"               name    id
0     Shaw Brothers  5798
1      Warner Bros.  6194
2  The Ladd Company  7965"
1726,"                   name    id
0        United Artists    60
1  Talisman Productions  8989"
1727,"                          name     id
0  Wonderland Sound and Vision   4022
1                   EuropaCorp   6896
2             Relativity Media   7295
3                         3DTK  22947
4       Feelgood Entertainment  22948
5                 Paradise/MGN  22949"
1728,"                     name   id
0       Columbia Pictures    5
1  Industry Entertainment  376
2        2929 Productions  846"
1729,"              name  id
0  New Line Cinema  12"
1730,"                                           name     id
0                                     Bac Films    208
1                        Pandora Filmproduktion    254
2                                      Procirep    311
3                                 Galatée Films    793
4                                     Eurimages    850
5                                        Canal+   5358
6                  Westdeutscher Rundfunk (WDR)   7025
7               Télévision Suisse-Romande (TSR)   8453
8                             Wanda Visión S.A.  10046
9             Conseil Régional de Franche-Comté  11402
10                             Eyescreen S.r.l.  12012
11                              France 2 Cinéma  15671
12               Les Productions de la Guéville  17873
13  Centre National de la Cinématographie (CNC)  18367"
1731,"                   name     id
0   Regency Enterprises    508
1  Cheyenne Enterprises    890
2  New Regency Pictures  10104"
1732,"                 name   id
0  Hollywood Pictures  915"
1733,"                         name     id
0  Robert Simonds Productions   3929
1            Relativity Media   7295
2               Spy Next Door  46062"
1734,"                 name     id
0  Universal Pictures     33
1  The Bubble Factory  27128"
1735,"                     name     id
0             Screen Gems   3287
1  Storm King Productions  23895
2          Animationwerks  51312"
1736,"                  name     id
0    Participant Media   6735
1  Smokehouse Pictures  22695"
1737,"                    name     id
0              Lionsgate   1632
1  Handsomecharlie Films   8873
2   Cross Creek Pictures  10246
3    Darko Entertainment  12622
4         Panorama Media  13395
5       QC Entertainment  72725"
1738,"                  name    id
0  Touchstone Pictures  9195"
1739,"                        name     id
0            UK Film Council   2452
1             Intandem Films   2731
2  Aramid Entertainment Fund   3272
3                      Film4   9349
4        Lipsync Productions   9987
5             Number 9 Films  11752"
1740,"                 name    id
0  Universal Pictures    33
1          Marv Films  5374"
1741,"                                        name    id
0     Twentieth Century Fox Film Corporation   306
1                           Estudios Picasso  2029
2              NBC Universal Global Networks  2975
3  Origen Producciones Cinematograficas S.A.  3315"
1742,"         name     id
0      Canal+   5358
1  EuropaCorp   6896
2       Ciné+  23616
3          D8  32999"
1743,"              name    id
0  Eon Productions  7576"
1744,"                 name     id
0  Universal Pictures     33
1  Apatow Productions  10105"
1745,"                       name     id
0  Mark Johnson Productions   2604
1      Gran Via Productions   2605
2          Curmudgeon Films  12029"
1746,"                     name   id
0      Universal Pictures   33
1  Spyglass Entertainment  158"
1747,"                             name    id
0               Columbia Pictures     5
1                  EMI Films Ltd.   538
2  Thorn EMI Screen Entertainment  6179
3                 Home Box Office  6752"
1748,"                       name    id
0  Fox Searchlight Pictures    43
1   Scott Rudin Productions   258
2                 DNA Films   284
3                 BBC Films   288
4   Ingenious Film Partners   289
5           UK Film Council  2452"
1749,"                    name     id
0      Anonymous Content  10039
1  Level 1 Entertainment  10040
2         MID Foundation  20666"
1750,"                 name  id
0  Paramount Pictures   4"
1751,"                   name     id
0  All Girl Productions  10535
1   Gaylord Productions  11617"
1752,"                   name     id
0    Paramount Pictures      4
1  Rysher Entertainment  11661"
1753,"                 name  id
0  Universal Pictures  33"
1754,"Empty DataFrame
Columns: []
Index: []"
1755,"                        name     id
0        Alcon Entertainment   1088
1       O.N.C. Entertainment   3396
2  Farrell Paura Productions  78958
3      Gospel Truth Pictures  78959"
1756,"                 name  id
0  Universal Pictures  33"
1757,"                        name     id
0          Fox 2000 Pictures    711
1           Phoenix Pictures  11317
2  Rocking Chair Productions  67109"
1758,"                    name     id
0  The Weinstein Company    308
1             FilmEngine    816
2          Capitol Films    826
3     Ascendant Pictures   1204
4      VIP Medienfonds 4   2116
5     The Complex Studio  21962"
1759,"               name    id
0      Warner Bros.  6194
1  The Ladd Company  7965"
1760,"                        name   id
0          Columbia Pictures    5
1  Centropolis Entertainment  347"
1761,"                             name     id
0    Producers Sales Organization   1256
1                    Bavaria Film   1704
2  Dieter Geissler Filmproduktion   1766
3                    Warner Bros.   6194
4    Westdeutscher Rundfunk (WDR)   7025
5                 Bavaria Studios  33772"
1762,"                   name   id
0       New Line Cinema   12
1  Mystery Clock Cinema  908"
1763,"                 name     id
0   BIM Distribuzione    225
1           BBC Films    288
2   Paramount Vantage    838
3        Qwerty Films    892
4               Pathé   7981
5  Magnolia Mae Films  18188"
1764,"                        name     id
0  Silver Screen Partners II  10531
1        Oz Productions Ltd.  15395"
1765,"                                     name     id
0  Twentieth Century Fox Film Corporation    306
1                   Detour Filmproduction  11510"
1766,"                  name     id
0    Paramount Vantage    838
1    Anonymous Content  10039
2         Misher Films  11581
3  Case 39 Productions  11582"
1767,"                        name   id
0         Paramount Pictures    4
1  Cruise/Wagner Productions   44
2    Lakeshore Entertainment  126
3           Intermedia Films  763"
1768,"              name  id
0  New Line Cinema  12"
1769,"              name    id
0  Dimension Films  7405"
1770,"                      name     id
0         TriStar Pictures    559
1  Sony Pictures Releasing   3045
2      Smokehouse Pictures  22695
3            LStar Capital  34034
4       Allegiance Theater  54454"
1771,"                                                name     id
0                                       Film Council    246
1                   Alliance Atlantis Communications    803
2                                The Film Consortium   1218
3                                        Focus Films   1268
4                                     Momentum Films   1269
5                                   National Lottery   1270
6  Canadian Film or Video Production Tax Credit (...   8582
7                     Artists Production Group (APG)  18620
8                                  Fifty First Films  52619"
1772,"                        name    id
0  Metro-Goldwyn-Mayer (MGM)  8411"
1773,"                               name     id
0       Avenue Pictures Productions    251
1                Weed Road Pictures    433
2                  Intermedia Films    763
3          Egmond Film & Television   4588
4                   Dimension Films   7405
5            Outlaw Productions (I)  19507
6          Mindhunters (UK) Limited  19508
7          Mindhunters Productie BV  19509
8                          Tonna Oy  19510
9  Outlaw Victoria Productions Inc.  19511"
1774,"                     name     id
0        2929 Productions    846
1    Linson Entertainment   4700
2  Art Linson Productions   8769
3     Tribeca Productions  11391"
1775,"                      name     id
0   Sony Pictures Classics     58
1                BBC Films    288
2  Serendipity Point Films    805
3          Téléfilm Canada    806
4             Odessa Films   1712
5                 Movision   1727
6             Astral Media   2743
7      Corus Entertainment  11550
8         Company Pictures  11842"
1776,"           name    id
0  Walt deFaria  5646"
1777,"                        name     id
0          Columbia Pictures      5
1  Happy Madison Productions   2608
2           Relativity Media   7295
3                  Hey Eddie  46222"
1778,"                        name     id
0       Walt Disney Pictures      2
1                 Gunn Films   3538
2  Casual Friday Productions  93528"
1779,"                 name     id
0  Universal Pictures     33
1  Apatow Productions  10105"
1780,"                        name   id
0              Miramax Films   14
1         Universal Pictures   33
2  Bedford Falls Productions  348"
1781,"                                    name     id
0                   Double Feature Films    215
1                           Jersey Films    216
2       1984 Private Defense Contractors   8532
3                   Cross Creek Pictures  10246
4                  Exclusive Media Group  11448
5  Traveling Picture Show Company (TPSC)  39043
6                    Free State Pictures  40106
7                Da Vinci Media Ventures  40107"
1782,"                    name  id
0  Imagine Entertainment  23
1     Universal Pictures  33"
1783,"                 name     id
0   Columbia Pictures      5
1  Apatow Productions  10105"
1784,"                                     name   id
0  Twentieth Century Fox Film Corporation  306"
1785,"                  name     id
0      Tig Productions    335
1  Touchstone Pictures   9195
2      Beacon Pictures  10157
3   Cobalt Media Group  18619"
1786,"                            name    id
0  Columbia Pictures Corporation   441
1      Stonebridge Entertainment  5738"
1787,"                           name     id
0                United Artists     60
1  Joseph E. Levine Productions  11503"
1788,"                     name    id
0          DreamWorks SKG    27
1  Craven-Maddalena Films  1600
2             BenderSpink  6363"
1789,"                     name    id
0         New Line Cinema    12
1  Zide-Perry Productions  3169"
1790,"                    name     id
0     Universal Pictures     33
1  Mike Zoss Productions   2092
2           Studio Canal   5870
3    Touchstone Pictures   9195
4    Working Title Films  10163"
1791,"         name    id
0  Bold Films  2266"
1792,"                 name    id
0  Paramount Pictures     4
1    De Line Pictures  2609"
1793,"             name    id
0  Depth of Field  1473"
1794,"                       name     id
0        Paramount Pictures      4
1        Nickelodeon Movies   2348
2  Valhalla Motion Pictures  11533"
1795,"                name  id
0  Columbia Pictures   5"
1796,"                          name     id
0                    Lionsgate   1632
1             Relativity Media   7295
2            Sighvatsson Films  11369
3  Michael De Luca Productions  11370
4        Palomar Pictures (II)  11371"
1797,"                        name     id
0          Splendid Pictures    368
1             Maverick Films   4000
2  Metro-Goldwyn-Mayer (MGM)   8411
3  Dylan Sellers Productions   8807
4       Madacy Entertainment  12027"
1798,"              name  id
0  New Line Cinema  12"
1799,"                        name    id
0  Metro-Goldwyn-Mayer (MGM)  8411"
1800,"               name    id
0  Relativity Media  7295"
